champ_Corki_t1,champ_Corki_t2,champ_KSante_t1,champ_KSante_t2,champ_Azir_t1,champ_Azir_t2,champ_Xin Zhao_t1,champ_Xin Zhao_t2,champ_Ezreal_t1,champ_Ezreal_t2,champ_Taliyah_t1,champ_Taliyah_t2,champ_Rell_t1,champ_Rell_t2,champ_Rumble_t1,champ_Rumble_t2,champ_Nautilus_t1,champ_Nautilus_t2,champ_Vi_t1,champ_Vi_t2,champ_Alistar_t1,champ_Alistar_t2,champ_Rakan_t1,champ_Rakan_t2,champ_Sejuani_t1,champ_Sejuani_t2,champ_Lucian_t1,champ_Lucian_t2,champ_Jhin_t1,champ_Jhin_t2,champ_Gnar_t1,champ_Gnar_t2,champ_Varus_t1,champ_Varus_t2,champ_Ryze_t1,champ_Ryze_t2,champ_Jayce_t1,champ_Jayce_t2,champ_Ambessa_t1,champ_Ambessa_t2,champ_Renekton_t1,champ_Renekton_t2,champ_Leona_t1,champ_Leona_t2,champ_Zeri_t1,champ_Zeri_t2,champ_Pantheon_t1,champ_Pantheon_t2,champ_Orianna_t1,champ_Orianna_t2,champ_Ashe_t1,champ_Ashe_t2,champ_Ahri_t1,champ_Ahri_t2,champ_Poppy_t1,champ_Poppy_t2,champ_Jarvan IV_t1,champ_Jarvan IV_t2,champ_Wukong_t1,champ_Wukong_t2,champ_Lee Sin_t1,champ_Lee Sin_t2,champ_Aurora_t1,champ_Aurora_t2,champ_Kaisa_t1,champ_Kaisa_t2,champ_Maokai_t1,champ_Maokai_t2,champ_Yone_t1,champ_Yone_t2,champ_Aatrox_t1,champ_Aatrox_t2,champ_Neeko_t1,champ_Neeko_t2,champ_Skarner_t1,champ_Skarner_t2,champ_Miss Fortune_t1,champ_Miss Fortune_t2,champ_Kalista_t1,champ_Kalista_t2,team1_champ_wr_avg,team2_champ_wr_avg,game_id,team1_win,total_kills
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.4580357142857143,0.5005555555555555,53889,1,12
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49588744588744593,0.515,53897,0,20
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5458152958152958,0.47823232323232323,53898,1,23
0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.45600050851767093,0.5600103199174407,53894,0,13
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46094720496894415,0.4882352941176471,53895,1,23
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5304166666666668,0.4995029239766081,53903,1,14
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49203429027113244,0.49130530129672,53904,1,31
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497718253968254,0.5415036231884058,53905,0,18
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5108238167061696,0.5291666666666667,53900,1,24
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5335016835016835,0.49316520467836256,53901,1,18
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4990091036414566,0.4681566885127257,54060,1,37
